correo,password,idempleado
esdoc300@ipn.mx,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,1
jonathanoleaz@yahoo.com.mx,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,2
abhera@yandex.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,3
cefriasm@gmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,4
giselle.ft@hotmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,5
sam-y.barca@hotmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,6
esli-osorio@hotmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,7
luismario.escom@hotmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,8
cecilu_azul@hotmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,9
vdolverap@gmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,10
jca_950904@hotmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,11
tonatihubarrera@gmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,12
leonelvazquezperez@gmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,13
eduardo.zamarron.m@gmail.com,$2a$10$TgipNN8kyJ4G9cBzbFiVfulOG2X5WY/TcVwDxQukw/taTFdg4dmja,14
